name,latitude,longitude,authority,source,owner
Toledo Ref Power Recovery Train,41.632500,-83.504200,"PJM Interconnection, LLC",Municipality,The Toledo Edison Co
Bellmeade Power Station,37.496400,-77.431700,"PJM Interconnection, LLC",Municipality,Virginia Electric & Power Co
MU Combined Heat and Power Plant,38.946100,-92.332800,"Midcontinent Independent Transmission System Operator, Inc..",Wells,City of Columbia - (MO)
Tropicana Products Bradent,27.483358,-82.548341,Florida Power & Light Company,Municipality,Florida Power & Light Co
Marsh Valley Development,42.625972,-112.149344,PacifiCorp - East,Portnuet River,PacifiCorp
Motiva Enterprises Port Arthur Refinery,29.888462,-93.950984,"Midcontinent Independent Transmission System Operator, Inc..",LNVA,Entergy Texas Inc.
Scrubgrass Generating Plant,41.269100,-79.813400,"PJM Interconnection, LLC",Allegheny River,Pennsylvania Electric Co
Indiantown Cogeneration LP,27.038900,-80.512500,Florida Power & Light Company,Taylor Creek,Florida Power & Light Co
Carr Street Generating Station,43.061320,-76.082390,New York Independent System Operator,OCWA,Niagara Mohawk Power Corp.
Siphon Power Project,44.033022,-121.329700,PacifiCorp - West,Deschutes River,PacifiCorp
Solano County Cogen Plant,38.249400,-122.039400,California Independent System Operator,,Pacific Gas & Electric Co
Rock Creek I,42.632483,-114.538769,Idaho Power Company,Rock Creek,Idaho Power Co
Marathon Electric,44.978300,-89.632800,"Midcontinent Independent Transmission System Operator, Inc..",,Wisconsin Public Service Corp
Co-Gen II LLC,42.961126,-123.359138,PacifiCorp - West,N/A,PacifiCorp
Gallup Refinery,35.488289,-108.426497,Public Service Company of New Mexico,Wells,Continental Divide El Coop Inc
Aziscohos Hydroelectric Project,44.943900,-70.997500,ISO New England Inc.,Aziscohos Lake,Central Maine Power Co
Enterprise Sugar Factory,29.903611,-91.725556,"Midcontinent Independent Transmission System Operator, Inc..",Bayou Patout,Cleco Power LLC
Ryegate Power Station,44.213100,-72.057200,ISO New England Inc.,Connecticut River,Green Mountain Power Corp
Ocean State Power,42.009722,-71.668909,ISO New England Inc.,Blackstone River,The Narragansett Electric Co
West Delaware Tunnel Plant,41.859601,-74.510259,New York Independent System Operator,NYC W. Delaware Tunnel Outlet,Central Hudson Gas & Elec Corp
Little Falls Hydro,43.040335,-74.850621,New York Independent System Operator,"Mohawk River, Ny Barge Canal",Niagara Mohawk Power Corp.
Hofstra University,40.713900,-73.600300,New York Independent System Operator,Municipality,Long Island Power Authority
MacArthur Waste to Energy Facility,40.786900,-73.106400,New York Independent System Operator,Municipality,Long Island Power Authority
Plaquemine Operations,30.318611,-91.232500,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Entergy New Orleans Inc
LaO Energy Systems,30.318600,-91.232500,"Midcontinent Independent Transmission System Operator, Inc..","Wells, Mississippi River",Entergy Louisiana LLC
Mecklenburg Power Station,36.600000,-78.530000,"PJM Interconnection, LLC",John H Kerr Reservoir,Virginia Electric & Power Co
Lee County Solid Waste Energy,26.631549,-81.760656,Florida Power & Light Company,City Of Ft Myers,Florida Power & Light Co
Terra-Gen Dixie Valley,39.966300,-117.855700,California Independent System Operator,Wells,Southern California Edison Co
Doswell Energy Center,37.820805,-77.446246,"PJM Interconnection, LLC",NA,Virginia Electric & Power Co
ITT Cogen Facility,41.834420,-87.628465,"PJM Interconnection, LLC",,Commonwealth Edison Co
Rhode Island Hospital,41.810300,-71.410000,ISO New England Inc.,Municipality,The Narragansett Electric Co
Dartmouth Power Associates LP,41.673100,-70.999400,ISO New England Inc.,Municipality,NSTAR Electric Company
Puna Geothermal Venture I,19.478976,-154.888362,,Water wells And Air Cooled,Hawaii Electric Light Co Inc
Alliance Refinery,29.683300,-89.975000,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Entergy Louisiana LLC
Moretown Generating Station,44.285945,-72.710324,ISO New England Inc.,Mad River,Washington Electric Coop - (VT)
Bunge Oil,41.154610,-87.854780,"PJM Interconnection, LLC",,Commonwealth Edison Co
Yough Hydro Power,39.801637,-79.368214,"PJM Interconnection, LLC",Youghiogheny River Lake,Pennsylvania Electric Co
Quail Creek Hydro Plant #1,37.185400,-113.358300,PacifiCorp - East,Virgin River,"Dixie Escalante R E A, Inc"
Vanderbilt University Power Plant,36.145896,-86.803833,Tennessee Valley Authority,Municipality,Nashville Electric Service
Clifton Dam 3 Power Station,34.995300,-81.834400,Duke Energy Carolinas,Pacolet,"Duke Energy Carolinas, LLC"
I 95 Municipal Landfill Phase I,38.689200,-77.237500,"PJM Interconnection, LLC",,Virginia Electric & Power Co
Rapidan Hydro Facility,44.092689,-94.108817,"Midcontinent Independent Transmission System Operator, Inc..",Blue Earth,Northern States Power Co - Minnesota
Nassau Energy Corp,40.726400,-73.589200,New York Independent System Operator,Municipality,Long Island Power Authority
Herkimer,43.033577,-74.983391,New York Independent System Operator,West Canada Creek,Niagara Mohawk Power Corp.
Ogdensburg,44.704089,-75.487049,New York Independent System Operator,Oswehatchie River,Niagara Mohawk Power Corp.
Hartford Hospital Cogeneration,41.763100,-72.673300,ISO New England Inc.,"Cooling Tower, MDC",Connecticut Light & Power Co
Martinez Sulfuric Acid Regeneration Plt,38.031400,-122.113900,California Independent System Operator,Contra Costa Canal,Pacific Gas & Electric Co
Dominguez Plant,33.843100,-118.234700,California Independent System Operator,California Water Service Co,Southern California Edison Co
Houston Plant,29.719770,-95.270562,"Electric Reliability Council of Texas, Inc.",Municipality,CenterPoint Energy
Great Falls Hydro Project,40.915319,-74.180986,"PJM Interconnection, LLC",Passaic River,Public Service Elec & Gas Co
Point Comfort Operations,28.652709,-96.559997,"Electric Reliability Council of Texas, Inc.",Wells,AEP Texas Central Company
Sandow No 5,30.568100,-97.061400,"Electric Reliability Council of Texas, Inc.",Alcoa Lake Treatment System,Oncor Electric Delivery Company LLC
Radford Army Ammunition Plant,37.180441,-80.542767,"PJM Interconnection, LLC",New River,Appalachian Power Co
UCLA So Campus Cogen Project,34.069200,-118.443900,Los Angeles Department of Water and Power,Municipality,Los Angeles Department of Water & Power
McKittrick Cogen,35.316100,-119.659700,California Independent System Operator,Wells,Pacific Gas & Electric Co
Lost Hills Cogeneration Plant,35.666111,-119.766944,California Independent System Operator,,Pacific Gas & Electric Co
North Midway Cogen,35.276100,-119.598600,California Independent System Operator,Wells,Pacific Gas & Electric Co
Cymric 31X Cogen,35.363900,-119.659200,California Independent System Operator,Wells,Pacific Gas & Electric Co
Cymric 6Z Cogen,35.346102,-119.643431,California Independent System Operator,Wells,Pacific Gas & Electric Co
Coalinga 6C Cogen,36.209700,-120.382800,California Independent System Operator,Wells,Pacific Gas & Electric Co
Taft 26C Cogen,35.113300,-119.470600,California Independent System Operator,Wells,Pacific Gas & Electric Co
Coalinga 25D Cogen,36.155600,-120.397200,California Independent System Operator,Wells,Pacific Gas & Electric Co
Elizabeth River Power Station,36.775000,-76.308300,"PJM Interconnection, LLC",Air Cooled Condensor,Virginia Electric & Power Co
Texas City Power Plant,29.378697,-94.943829,"Electric Reliability Council of Texas, Inc.",Brazos River,Texas-New Mexico Power Co
Celanese Acetate LLC,37.343900,-80.765000,"PJM Interconnection, LLC",New River,Appalachian Power Co
New York Methodist Hospital,40.667900,-73.978700,New York Independent System Operator,Municipality,Consolidated Edison Co-NY Inc
Kern River Fee B Cogen,35.440481,-119.007726,California Independent System Operator,Wells,Pacific Gas & Electric Co
Kern River Fee A Cogen,35.459849,-119.013573,California Independent System Operator,Wells,Pacific Gas & Electric Co
Kern River Fee C Cogen,35.464253,-118.996337,California Independent System Operator,Wells,Pacific Gas & Electric Co
Berry Placerita Cogen,34.384070,-118.494882,California Independent System Operator,,Southern California Edison Co
Plant No 2 Orange County,33.643300,-117.955600,California Independent System Operator,Treated Waste Water,Southern California Edison Co
Cymric 36W Cogen,35.363300,-119.675600,California Independent System Operator,Wells,Pacific Gas & Electric Co
Richmond Refinery TG800,37.932222,-122.389722,California Independent System Operator,East Bay MUD,Pacific Gas & Electric Co
Philadelphia Refinery,39.905800,-75.212200,"PJM Interconnection, LLC",Schuylkill River,PECO Energy Co
Kern River Eastridge Cogen,35.440600,-118.961700,California Independent System Operator,Wells,Pacific Gas & Electric Co
Richmond Cogen,37.941800,-122.390900,California Independent System Operator,East Bay MUD,Pacific Gas & Electric Co
Ingredion Stockton,37.912800,-121.261400,California Independent System Operator,,Pacific Gas & Electric Co
Multitrade of Pittsylvania LP,37.104141,-79.276958,"PJM Interconnection, LLC",Roanoke River,Virginia Electric & Power Co
Freeport Energy,28.991289,-95.407481,"Electric Reliability Council of Texas, Inc.",Gulf Of Mexico & Brazos River,CenterPoint Energy
Wasson CO2 Removal Plant,33.009944,-102.756945,Southwest Power Pool,Wells,Southwestern Public Service Co
Elk Basin Gasoline Plant,44.980600,-108.842800,PacifiCorp - East,Clarks Fork River,PacifiCorp
Whiting Refinery,41.670300,-87.480300,"Midcontinent Independent Transmission System Operator, Inc..",Lake Michigan,Northern Indiana Pub Serv Co
Power Station 3,29.379444,-94.916666,,Gulf Coast Water Authority,
Power Station 4,29.378164,-94.921950,"Electric Reliability Council of Texas, Inc.",Gulf Coast Water Authority,Texas-New Mexico Power Co
Tesoro Mandan Cogeneration Plant,46.849200,-100.880800,Southwest Power Pool,Missouri River,Montana-Dakota Utilities Co
Steamboat 1A Power Plant,39.393900,-119.753700,Nevada Power Company,Wells,Sierra Pacific Power Co
International Paper Prattville Mill,32.418700,-86.471800,"Southern Company Services, Inc. - Trans",Alabama River,Alabama Power Co
Mojave 4,35.050600,-118.257200,California Independent System Operator,,Southern California Edison Co
Mojave 3,35.068000,-118.289800,California Independent System Operator,,Southern California Edison Co
Mojave 5,35.076000,-118.248700,California Independent System Operator,,Southern California Edison Co
C P Kelco San Diego Plant,32.694700,-117.143600,California Independent System Operator,Municipality,San Diego Gas & Electric Co
Elkton,38.383600,-78.652800,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
West Point (PA),40.220453,-75.301645,"PJM Interconnection, LLC",Well Water,PECO Energy Co
International Paper Eastover Facility,33.887200,-80.639700,South Carolina Electric & Gas Company,Wateree River,South Carolina Electric&Gas Company
International Paper Franklin Mill,36.680300,-76.912800,"PJM Interconnection, LLC",Wells,Virginia Electric & Power Co
Lacomb Irrigation District,44.597518,-122.685441,PacifiCorp - West,Crabtree Creek,PacifiCorp
Aidlin Geothermal Power Plant,38.833900,-122.881000,California Independent System Operator,Wells,Pacific Gas & Electric Co
Victory Garden Phase IV LLC,35.076000,-118.366400,California Independent System Operator,,Southern California Edison Co
Terra-Gen 251 Wind LLC,35.085300,-118.354700,California Independent System Operator,,Southern California Edison Co
85 A,35.101100,-118.337200,California Independent System Operator,,Southern California Edison Co
85 B,35.101100,-118.337200,California Independent System Operator,,Southern California Edison Co
Helzel & Schwarzhoff 88 Wind Farm,35.090800,-118.393600,California Independent System Operator,,Southern California Edison Co
Collins Facility,42.156900,-72.422700,ISO New England Inc.,Chicopee River,Massachusetts Electric Co
Riverbay,40.869972,-73.824437,New York Independent System Operator,Municipality,Consolidated Edison Co-NY Inc
Midway Sunset Cogen,35.226900,-119.629400,California Independent System Operator,,Pacific Gas & Electric Co
Upper Barker,44.086870,-70.229294,ISO New England Inc.,Little Androscoggin,Central Maine Power Co
Conemaugh Hydro Plant,40.464390,-79.365703,"PJM Interconnection, LLC",Conemaugh River,Pennsylvania Electric Co
Soda Lake Geothermal No I II,39.557000,-118.838300,Nevada Power Company,Wells,Sierra Pacific Power Co
CITGO Refinery Powerhouse,30.182600,-93.323400,"Midcontinent Independent Transmission System Operator, Inc..",Calcasieu River,Entergy Gulf States - LA LLC
C R Wing Cogen Plant,32.273178,-101.422386,"Electric Reliability Council of Texas, Inc.",Colo.River Municipal Water Dis,Oncor Electric Delivery Company LLC
Tesoro Kenai Cogeneration Plant,60.677000,-151.381500,,,Homer Electric Assn Inc
Yuba City Cogen Partners,39.136670,-121.639846,California Independent System Operator,City Water,Pacific Gas & Electric Co
Falls Creek,44.396815,-122.350246,PacifiCorp - West,Falls Creek,PacifiCorp
Delaware City Plant,39.587100,-75.634300,"PJM Interconnection, LLC",Delaware River,Delmarva Power
"Otay Landfill Gas, LLC",32.598300,-117.017800,California Independent System Operator,Private,San Diego Gas & Electric Co
"WestRock Southeast, LLC.",32.503600,-82.844300,"Southern Company Services, Inc. - Trans",Oconee River,Georgia Transmission Corp
Broadwater Power Project,46.120610,-111.407656,NorthWestern Energy (NWMT),Missouri River,NorthWestern Energy LLC - (MT)
MM West Covina,34.033206,-117.906129,California Independent System Operator,Municipality,Southern California Edison Co
San Gabriel Hydro Project,34.204311,-117.855714,California Independent System Operator,San Gabriel River,Southern California Edison Co
Wheelabrator North Broward,26.287800,-80.158100,Florida Power & Light Company,Municipality,Florida Power & Light Co
Rensselaer Cogen,42.625325,-73.749955,New York Independent System Operator,Rensselaer Municipal Water,Niagara Mohawk Power Corp.
Geo East Mesa II,32.775700,-115.263700,Imperial Irrigation District,Imperial Irrigation Water Dist,Imperial Irrigation District
Lockport Energy Associates LP,43.161947,-78.744971,New York Independent System Operator,Municipality,New York State Elec & Gas Corp
University of Illinois Cogen Facility,41.867500,-87.652400,"PJM Interconnection, LLC",City of Chicago Water,Commonwealth Edison Co
Glines Hydroelectric Project,48.002200,-123.600200,Bonneville Power Administration,Elwha River,PUD No 1 of Clallam County
Elwha Hydroelectric Project,48.094900,-123.557400,Bonneville Power Administration,Elwha River,PUD No 1 of Clallam County
Pawtucket Power Associates,41.861531,-71.406856,ISO New England Inc.,Municipality,The Narragansett Electric Co
